Row Labels,Abbeyhill,Balgreen and Roseburn,"Blackford, West Mains and Mayfield Road",Bonnington,Boswall and Pilton,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Comely Bank,"Craigleith, Orchard Brae and Crewe Toll",Dalry and Fountainbridge,Deans Village,Drylaw,Easter Road and Hawkhill Avenue,Gorgie East,Gorgie West,Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Hillside and Calton Hill,"Inverleith, Goldenacre and Warriston",Leith (Albert Street),Leith (Hermitage and Prospect Bank),Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Morningside,Morningside and Craighouse,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,North Leith and Newhaven,"Old Town, Princes Street and Leith Street",Pilrig,Polwarth,Prestonfield,Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Slateford and Chesser,South Leith,Stockbridge,The Grange,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Abbeyhill,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Balgreen and Roseburn,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Blackford, West Mains and Mayfield Road",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Bonnington,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0
Boswall and Pilton,0,0,0,1,0,1,0,0,0,0,1,5,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0
Broughton North and Powderhall,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,3,0,1,7,1,0,0,0,0,0,0,1,1,0,1,3,0,0,0,1,0
Broughton South,0,0,0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,10,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0
Bruntsfield,0,0,1,0,0,0,0,0,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"Canongate, Southside and Dumbiedykes",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Canonmills and New Town North,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Comely Bank,0,0,0,0,0,0,0,0,0,1,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
"Craigleith, Orchard Brae and Crewe Toll",0,0,0,0,1,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Dalry and Fountainbridge,0,0,1,0,0,0,0,1,1,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0
Deans Village,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,8,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0
Drylaw,0,0,0,0,1,0,0,0,0,0,1,9,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Easter Road and Hawkhill Avenue,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0
Gorgie East,0,0,0,0,0,0,0,1,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
Gorgie West,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
Granton and Royston Mains,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Granton South and Wardieburn,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Granton West and Salvesen,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Great Junction Street,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0
Hillside and Calton Hill,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,0,15,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,1,0
"Inverleith, Goldenacre and Warriston",0,0,0,0,1,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Leith (Albert Street),0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Leith (Hermitage and Prospect Bank),0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,2,0
Marchmont East and Sciennes,0,0,5,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
Marchmont West,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,1,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
Meadowbank and Abbeyhill North,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Meadows and Southside,0,0,4,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,15,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
Merchiston and Greenhill,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0
Morningside,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
Morningside and Craighouse,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Murrayfield and Ravelston,0,1,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
New Town East and Gayfield,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
New Town West,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
Newington and Dalkeith Road,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0
North Leith and Newhaven,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,2,0
"Old Town, Princes Street and Leith Street",0,0,1,0,0,1,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
Pilrig,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0
Polwarth,0,0,0,0,0,0,0,1,0,0,0,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Prestonfield,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Restalrig (Loganlea) and Craigentinny West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Restalrig and Lochend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Shandon,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
Slateford and Chesser,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
South Leith,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0
Stockbridge,0,0,0,0,0,1,0,0,1,1,1,4,1,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0
The Grange,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
The Shore and Constitution Street,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0
Tollcross,0,0,1,0,0,0,0,2,2,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,3,0,0,0,1,2,0,0,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Trinity,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
Trinity East and The Dudleys,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,2,0
West Pilton,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Harbour and Leith Docks,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Willowbrae and Duddingston Village,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
