Location,Abbeyhill,Balgreen and Roseburn,"Blackford, West Mains and Mayfield Road",Bonnington,Boswall and Pilton,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Comely Bank,"Craigleith, Orchard Brae and Crewe Toll",Dalry and Fountainbridge,Deans Village,Drylaw,Easter Road and Hawkhill Avenue,Gorgie East,Gorgie West,Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Hillside and Calton Hill,"Inverleith, Goldenacre and Warriston",Leith (Albert Street),Leith (Hermitage and Prospect Bank),Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Morningside,Morningside and Craighouse,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,North Leith and Newhaven,"Old Town, Princes Street and Leith Street",Pilrig,Polwarth,Prestonfield,Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Slateford and Chesser,South Leith,Stockbridge,The Grange,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Abbeyhill,0.0,5.2620000000000005,3.127,2.16,4.075,1.8419999999999999,1.42,3.22,1.179,1.939,3.187,4.01,3.372,3.353,5.06,0.743,4.02,4.795,4.74,4.448,5.584,1.9240000000000002,0.65,2.8930000000000002,0.9420000000000001,1.483,2.275,2.719,0.475,1.891,3.697,3.885,4.677,4.667,1.365,2.1630000000000003,1.926,2.719,1.452,1.4509999999999998,3.843,2.522,1.52,1.218,4.5169999999999995,5.48,1.329,2.641,2.747,2.215,2.521,3.404,2.8489999999999998,4.99,2.76,1.5090000000000001
Balgreen and Roseburn,5.2620000000000005,0.0,4.917,5.073,3.7710000000000004,4.2989999999999995,4.627,2.541,4.359,3.76,2.4930000000000003,2.2840000000000003,2.004,1.921,2.418,5.522,1.429,1.028,4.021,4.199,3.609,5.734,4.913,3.935,5.114,6.3,3.8369999999999997,3.303,5.705,3.978,2.562,3.278,2.971,0.9129999999999999,4.178999999999999,3.287,4.734,5.607,3.8289999999999997,5.164,1.808,5.5920000000000005,6.78,6.352,1.584,1.419,5.693,3.0439999999999996,4.239,6.265,2.862,4.457,5.138,3.145,6.087999999999999,6.537999999999999
"Blackford, West Mains and Mayfield Road",3.127,4.917,0.0,4.967,5.982,4.261,4.069,2.43,2.194,3.906,4.29,5.093,3.113,3.679,6.093999999999999,3.865,3.5180000000000002,3.985,6.627999999999999,6.481,7.067,4.981,3.503,5.04,3.912,4.574,1.45,1.744,3.4819999999999998,1.68,2.373,1.8359999999999999,2.6180000000000003,4.859,3.6,3.639,1.205,5.632999999999999,2.665,4.388999999999999,3.115,1.0590000000000002,4.0489999999999995,4.166,3.451,4.28,4.436,4.098,0.757,5.331,2.5860000000000003,5.75,5.577999999999999,6.407,5.794,3.162
Bonnington,2.16,5.073,4.967,0.0,2.38,0.8759999999999999,0.9,4.008,2.7739999999999996,1.454,2.5810000000000004,3.065,3.748,3.315,3.886,1.597,4.287,5.032,2.9539999999999997,2.592,3.99,0.785,1.558,1.327,1.2209999999999999,1.808,3.716,3.897,2.1719999999999997,3.366,4.584,5.0889999999999995,5.702999999999999,4.236000000000001,1.4269999999999998,1.975,3.8,0.691,2.407,0.727,4.322,4.5889999999999995,2.923,2.241,4.992,5.822,1.1909999999999998,2.042,4.388,1.263,3.205,1.4509999999999998,0.691,3.529,1.053,3.489
Boswall and Pilton,4.075,3.7710000000000004,5.982,2.38,0.0,2.24,2.693,4.071000000000001,4.064,2.2359999999999998,1.851,1.507,3.47,2.779,1.76,3.775,3.695,4.208,0.6759999999999999,0.522,1.61,3.157,3.4339999999999997,1.188,3.2969999999999997,4.1739999999999995,4.534,4.397,4.281000000000001,4.328,4.582,5.322,5.622000000000001,2.862,2.76,2.355,5.046,2.519,3.4139999999999997,2.96,3.952,6.002000000000001,5.206,4.548,4.439,4.963,3.5260000000000002,1.885,5.252000000000001,3.576,3.495,1.014,1.973,1.2,3.029,5.57
Broughton North and Powderhall,1.8419999999999999,4.2989999999999995,4.261,0.8759999999999999,2.24,0.0,0.46399999999999997,3.135,2.102,0.583,1.84,2.477,2.878,2.478,3.431,1.571,3.431,4.187,2.9,2.6060000000000003,3.7889999999999997,1.436,1.196,1.053,1.083,2.1430000000000002,2.9330000000000003,3.06,2.045,2.6069999999999998,3.7119999999999997,4.237,4.832,3.505,0.665,1.107,3.1460000000000004,1.551,1.619,0.9009999999999999,3.451,4.018,3.017,2.398,4.125,4.9719999999999995,1.482,1.2590000000000001,3.6310000000000002,1.9669999999999999,2.335,1.597,1.34,3.2319999999999998,1.923,3.33
Broughton South,1.42,4.627,4.069,0.9,2.693,0.46399999999999997,0.0,3.225,1.8769999999999998,0.87,2.22,2.91,3.065,2.752,3.884,1.1079999999999999,3.657,4.43,3.346,3.0389999999999997,4.251,1.187,0.7709999999999999,1.505,0.62,1.7209999999999999,2.825,3.0380000000000003,1.588,2.469,3.792,4.244,4.898,3.8689999999999998,0.5710000000000001,1.3519999999999999,2.909,1.579,1.527,0.547,3.628,3.727,2.5540000000000003,1.9409999999999998,4.315,5.2010000000000005,1.0759999999999998,1.6280000000000001,3.491,1.705,2.416,1.983,1.528,3.696,1.841,2.885
Bruntsfield,3.22,2.541,2.43,4.008,4.071000000000001,3.135,3.225,0.0,2.099,2.577,2.2230000000000003,2.872,0.711,1.3780000000000001,3.7739999999999996,3.7230000000000003,1.113,1.7380000000000002,4.638,4.593,4.85,4.4030000000000005,3.1239999999999997,3.458,3.464,4.566,1.319,0.764,3.695,1.536,0.5770000000000001,1.251,1.7,2.432,2.656,2.0869999999999997,2.221,4.686,1.837,3.742,0.752,3.051,4.689,4.428999999999999,1.334,2.305,4.104,2.313,1.714,4.9,0.809,4.187,4.406000000000001,4.203,5.04,4.226
"Canongate, Southside and Dumbiedykes",1.179,4.359,2.194,2.7739999999999996,4.064,2.102,1.8769999999999998,2.099,0.0,1.847,2.6919999999999997,3.5639999999999996,2.377,2.54,4.638999999999999,1.825,3.016,3.762,4.737,4.523,5.388,2.8289999999999997,1.349,2.991,1.7590000000000001,2.638,1.105,1.5430000000000001,1.6440000000000001,0.7170000000000001,2.54,2.707,3.498,3.9010000000000002,1.4380000000000002,1.76,1.044,3.44,0.684,2.21,2.779,1.9480000000000002,2.592,2.394,3.425,4.397,2.3409999999999997,2.285,1.662,3.2289999999999996,1.5030000000000001,3.658,3.3939999999999997,4.745,3.622,2.182
Canonmills and New Town North,1.939,3.76,3.906,1.454,2.2359999999999998,0.583,0.87,2.577,1.847,0.0,1.361,2.1069999999999998,2.295,1.9069999999999998,3.133,1.886,2.8489999999999998,3.609,2.912,2.679,3.665,1.9969999999999999,1.3619999999999999,1.148,1.42,2.58,2.513,2.5660000000000003,2.252,2.227,3.154,3.713,4.277,3.0,0.575,0.524,2.865,2.116,1.244,1.405,2.8689999999999998,3.795,3.3,2.741,3.542,4.3919999999999995,1.945,0.77,3.23,2.5269999999999997,1.788,1.845,1.839,3.0580000000000003,2.504,3.445
Comely Bank,3.187,2.4930000000000003,4.29,2.5810000000000004,1.851,1.84,2.22,2.2230000000000003,2.6919999999999997,1.361,0.0,0.871,1.625,0.953,1.9469999999999998,3.239,1.936,2.5780000000000003,2.42,2.373,2.783,3.262,2.681,1.501,2.78,3.938,2.8489999999999998,2.613,3.5580000000000003,2.728,2.7310000000000003,3.4730000000000003,3.785,1.6669999999999998,1.885,1.024,3.52,3.123,2.011,2.733,2.135,4.5,4.627,4.093999999999999,2.6910000000000003,3.373,3.2960000000000003,0.5920000000000001,3.5380000000000003,3.79,1.716,2.1430000000000002,2.677,2.124,3.5980000000000003,4.651
"Craigleith, Orchard Brae and Crewe Toll",4.01,2.2840000000000003,5.093,3.065,1.507,2.477,2.91,2.872,3.5639999999999996,2.1069999999999998,0.871,0.0,2.189,1.495,1.0759999999999998,3.985,2.27,2.714,1.8880000000000001,1.9769999999999999,1.9869999999999999,3.8160000000000003,3.466,1.78,3.508,4.62,3.6710000000000003,3.3760000000000003,4.354,3.5780000000000003,3.305,4.092,4.262,1.371,2.6689999999999996,1.867,4.378,3.484,2.8819999999999997,3.373,2.583,5.356,5.407,4.837,2.989,3.458,3.9589999999999996,1.369,4.336,4.323,2.508,2.195,2.97,1.3330000000000002,3.992,5.492999999999999
Dalry and Fountainbridge,3.372,2.004,3.113,3.748,3.47,2.878,3.065,0.711,2.377,2.295,1.625,2.189,0.0,0.7020000000000001,3.065,3.7560000000000002,0.648,1.426,4.003,3.99,4.155,4.249,3.138,2.998,3.42,4.583,1.868,1.386,3.8369999999999997,1.9769999999999999,1.123,1.903,2.162,1.7519999999999998,2.524,1.7730000000000001,2.7489999999999997,4.397,1.92,3.6069999999999998,0.575,3.647,4.886,4.535,1.251,2.154,4.0489999999999995,1.848,2.377,4.769,0.8740000000000001,3.7039999999999997,4.052,3.514,4.8,4.559
Deans Village,3.353,1.921,3.679,3.315,2.779,2.478,2.752,1.3780000000000001,2.54,1.9069999999999998,0.953,1.495,0.7020000000000001,0.0,2.423,3.6039999999999996,1.005,1.7180000000000002,3.302,3.2969999999999997,3.4730000000000003,3.903,2.9930000000000003,2.406,3.2060000000000004,4.3919999999999995,2.319,1.936,3.7889999999999997,2.323,1.825,2.6010000000000004,2.844,1.361,2.272,1.401,3.134,3.924,1.946,3.298,1.182,4.085,4.8660000000000005,4.431,1.7530000000000001,2.511,3.801,1.3,2.925,4.434,1.157,3.082,3.529,2.826,4.364,4.686
Drylaw,5.06,2.418,6.093999999999999,3.886,1.76,3.431,3.884,3.7739999999999996,4.638999999999999,3.133,1.9469999999999998,1.0759999999999998,3.065,2.423,0.0,4.982,2.963,3.174,1.735,2.019,1.206,4.666,4.494,2.559,4.497,5.559,4.697,4.356,5.385,4.63,4.131,4.933,4.9639999999999995,1.65,3.705,2.9360000000000004,5.436,4.1819999999999995,3.958,4.302,3.341,6.412000000000001,6.42,5.824,3.5839999999999996,3.798,4.893,2.427,5.337000000000001,5.144,3.523,2.7230000000000003,3.638,0.757,4.699,6.553
Easter Road and Hawkhill Avenue,0.743,5.522,3.865,1.597,3.775,1.571,1.1079999999999999,3.7230000000000003,1.825,1.886,3.239,3.985,3.7560000000000002,3.6039999999999996,4.982,0.0,4.3919999999999995,5.1770000000000005,4.412,4.084,5.35,1.209,0.619,2.593,0.488,0.843,2.929,3.3169999999999997,0.581,2.54,4.242,4.513999999999999,5.274,4.836,1.3630000000000002,2.263,2.662,2.064,1.8880000000000001,0.8740000000000001,4.274,3.255,1.446,0.855,4.963,5.905,0.591,2.6519999999999997,3.455,1.472,2.9610000000000003,2.9760000000000004,2.281,4.802,2.044,1.892
Gorgie East,4.02,1.429,3.5180000000000002,4.287,3.695,3.431,3.657,1.113,3.016,2.8489999999999998,1.936,2.27,0.648,1.005,2.963,4.3919999999999995,0.0,0.785,4.154,4.2010000000000005,4.129,4.833,3.7739999999999996,3.41,4.044,5.2139999999999995,2.411,1.874,4.484,2.571,1.2329999999999999,2.022,2.011,1.425,3.1319999999999997,2.327,3.31,4.913,2.568,4.203,0.41600000000000004,4.163,5.534,5.178999999999999,0.755,1.545,4.665,2.3,2.821,5.358,1.517,4.077,4.53,3.523,5.34,5.194
Gorgie West,4.795,1.028,3.985,5.032,4.208,4.187,4.43,1.7380000000000002,3.762,3.609,2.5780000000000003,2.714,1.426,1.7180000000000002,3.174,5.1770000000000005,0.785,0.0,4.587,4.69,4.379,5.601,4.558,4.078,4.827,5.999,3.054,2.489,5.261,3.264,1.6119999999999999,2.275,1.9480000000000002,1.524,3.9130000000000003,3.091,3.955,5.641,3.344,4.977,0.995,4.743,6.305,5.961,0.563,0.797,5.447,3.013,3.352,6.127999999999999,2.279,4.708,5.233,3.832,6.081,5.93
Granton and Royston Mains,4.74,4.021,6.627999999999999,2.9539999999999997,0.6759999999999999,2.9,3.346,4.638,4.737,2.912,2.42,1.8880000000000001,4.003,3.302,1.735,4.412,4.154,4.587,0.0,0.396,1.126,3.7110000000000003,4.096,1.847,3.9410000000000003,4.762,5.178,5.013,4.931,4.985,5.125,5.886,6.127999999999999,3.1439999999999997,3.4339999999999997,3.017,5.712999999999999,2.985,4.084,3.5780000000000003,4.448,6.672999999999999,5.831,5.164,4.877,5.306,4.128,2.532,5.892,4.0889999999999995,4.109,1.5130000000000001,2.457,1.002,3.472,6.229
Granton South and Wardieburn,4.448,4.199,6.481,2.592,0.522,2.6060000000000003,3.0389999999999997,4.593,4.523,2.679,2.373,1.9769999999999999,3.99,3.2969999999999997,2.019,4.084,4.2010000000000005,4.69,0.396,0.0,1.521,3.338,3.8,1.5659999999999998,3.6210000000000004,4.4,5.0360000000000005,4.912,4.615,4.8180000000000005,5.103,5.843999999999999,6.14,3.301,3.175,2.844,5.521,2.594,3.887,3.236,4.466,6.468,5.489,4.817,4.941,5.433,3.7739999999999996,2.391,5.756,3.705,4.011,1.1420000000000001,2.072,1.328,3.0780000000000003,5.922999999999999
Granton West and Salvesen,5.584,3.609,7.067,3.99,1.61,3.7889999999999997,4.251,4.85,5.388,3.665,2.783,1.9869999999999999,4.155,3.4730000000000003,1.206,5.35,4.129,4.379,1.126,1.521,0.0,4.765,4.961,2.76,4.8660000000000005,5.782,5.632000000000001,5.361000000000001,5.832000000000001,5.505,5.254,6.051,6.138,2.855,4.229,3.628,6.2860000000000005,4.088,4.707,4.558,4.489,7.263999999999999,6.791,6.143,4.776,5.001,5.13,3.1039999999999996,6.312,5.172000000000001,4.482,2.59,3.55,0.66,4.583,7.091
Great Junction Street,1.9240000000000002,5.734,4.981,0.785,3.157,1.436,1.187,4.4030000000000005,2.8289999999999997,1.9969999999999999,3.262,3.8160000000000003,4.249,3.903,4.666,1.209,4.833,5.601,3.7110000000000003,3.338,4.765,0.0,1.483,2.1069999999999998,1.072,1.1,3.8810000000000002,4.163,1.768,3.503,4.965,5.377000000000001,6.062,4.928999999999999,1.749,2.51,3.779,0.919,2.6430000000000002,0.6629999999999999,4.814,4.445,2.294,1.61,5.5,6.377999999999999,0.635,2.6910000000000003,4.4910000000000005,0.531,3.595,2.198,1.301,4.314,0.8370000000000001,3.011
Hillside and Calton Hill,0.65,4.913,3.503,1.558,3.4339999999999997,1.196,0.7709999999999999,3.1239999999999997,1.349,1.3619999999999999,2.681,3.466,3.138,2.9930000000000003,4.494,0.619,3.7739999999999996,4.558,4.096,3.8,4.961,1.483,0.0,2.249,0.41100000000000003,1.45,2.423,2.761,0.8909999999999999,2.0380000000000003,3.654,3.971,4.707,4.246,0.799,1.68,2.306,2.168,1.288,0.895,3.659,3.04,1.946,1.4409999999999998,4.349,5.287999999999999,1.012,2.1069999999999998,3.011,1.886,2.35,2.7539999999999996,2.2359999999999998,4.381,2.291,2.136
"Inverleith, Goldenacre and Warriston",2.8930000000000002,3.935,5.04,1.327,1.188,1.053,1.505,3.458,2.991,1.148,1.501,1.78,2.998,2.406,2.559,2.593,3.41,4.078,1.847,1.5659999999999998,2.76,2.1069999999999998,2.249,0.0,2.112,3.048,3.6239999999999997,3.6039999999999996,3.093,3.361,4.02,4.6739999999999995,5.127999999999999,3.05,1.611,1.442,4.013,1.705,2.3890000000000002,1.804,3.554,4.939,4.032,3.385,4.16,4.873,2.387,1.1540000000000001,4.3469999999999995,2.5869999999999997,2.745,0.737,1.206,2.24,2.2119999999999997,4.383
Leith (Albert Street),0.9420000000000001,5.114,3.912,1.2209999999999999,3.2969999999999997,1.083,0.62,3.464,1.7590000000000001,1.42,2.78,3.508,3.42,3.2060000000000004,4.497,0.488,4.044,4.827,3.9410000000000003,3.6210000000000004,4.8660000000000005,1.072,0.41100000000000003,2.112,0.0,1.186,2.825,3.1439999999999997,0.997,2.443,4.007,4.357,5.077,4.399,0.935,1.8330000000000002,2.713,1.788,1.6440000000000001,0.512,3.96,3.4219999999999997,1.9340000000000002,1.33,4.652,5.575,0.64,2.189,3.4210000000000003,1.485,2.673,2.529,1.911,4.315,1.8840000000000001,2.314
Leith (Hermitage and Prospect Bank),1.483,6.3,4.574,1.808,4.1739999999999995,2.1430000000000002,1.7209999999999999,4.566,2.638,2.58,3.938,4.62,4.583,4.3919999999999995,5.559,0.843,5.2139999999999995,5.999,4.762,4.4,5.782,1.1,1.45,3.048,1.186,0.0,3.7430000000000003,4.151,1.094,3.3560000000000003,5.084,5.341,6.111000000000001,5.5760000000000005,2.121,3.016,3.389,2.004,2.73,1.2570000000000001,5.109,3.852,1.22,0.5720000000000001,5.7989999999999995,6.735,0.6659999999999999,3.346,4.229,1.015,3.8,3.259,2.396,5.287999999999999,1.774,2.068
