Location,Abbeyhill,Balgreen and Roseburn,"Blackford, West Mains and Mayfield Road",Bonnington,Boswall and Pilton,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Comely Bank,"Craigleith, Orchard Brae and Crewe Toll",Dalry and Fountainbridge,Deans Village,Drylaw,Easter Road and Hawkhill Avenue,Gorgie East,Gorgie West,Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Hillside and Calton Hill,"Inverleith, Goldenacre and Warriston",Leith (Albert Street),Leith (Hermitage and Prospect Bank),Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Morningside,Morningside and Craighouse,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,North Leith and Newhaven,"Old Town, Princes Street and Leith Street",Pilrig,Polwarth,Prestonfield,Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Slateford and Chesser,South Leith,Stockbridge,The Grange,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Marchmont East and Sciennes,2.275,3.8369999999999997,1.45,3.716,4.534,2.9330000000000003,2.825,1.319,1.105,2.513,2.8489999999999998,3.6710000000000003,1.868,2.319,4.697,2.929,2.411,3.054,5.178,5.0360000000000005,5.632000000000001,3.8810000000000002,2.423,3.6239999999999997,2.825,3.7430000000000003,0.0,0.574,2.728,0.389,1.5919999999999999,1.614,2.431,3.6,2.296,2.202,0.902,4.4030000000000005,1.315,3.237,2.0709999999999997,1.7819999999999998,3.6,3.477,2.616,3.57,3.43,2.6489999999999996,0.7240000000000001,4.309,1.175,4.3469999999999995,4.272,4.9719999999999995,4.6419999999999995,2.997
Marchmont West,2.719,3.303,1.744,3.897,4.397,3.06,3.0380000000000003,0.764,1.5430000000000001,2.5660000000000003,2.613,3.3760000000000003,1.386,1.936,4.356,3.3169999999999997,1.874,2.489,5.013,4.912,5.361000000000001,4.163,2.761,3.6039999999999996,3.1439999999999997,4.151,0.574,0.0,3.187,0.87,1.0290000000000001,1.215,1.9609999999999999,3.137,2.476,2.1630000000000003,1.4680000000000002,4.588,1.52,3.503,1.514,2.289,4.113,3.9360000000000004,2.042,2.997,3.772,2.531,0.995,4.624,0.903,4.34,4.391,4.703,4.879,3.556
Meadowbank and Abbeyhill North,0.475,5.705,3.4819999999999998,2.1719999999999997,4.281000000000001,2.045,1.588,3.695,1.6440000000000001,2.252,3.5580000000000003,4.354,3.8369999999999997,3.7889999999999997,5.385,0.581,4.484,5.261,4.931,4.615,5.832000000000001,1.768,0.8909999999999999,3.093,0.997,1.094,2.728,3.187,0.0,2.3480000000000003,4.17,4.342,5.142,5.084,1.685,2.543,2.302,2.641,1.9169999999999998,1.4469999999999998,4.314,2.775,1.081,0.75,4.99,5.952000000000001,1.1340000000000001,2.992,3.161,1.956,2.991,3.525,2.86,5.261,2.593,1.3219999999999998
Meadows and Southside,1.891,3.978,1.68,3.366,4.328,2.6069999999999998,2.469,1.536,0.7170000000000001,2.227,2.728,3.5780000000000003,1.9769999999999999,2.323,4.63,2.54,2.571,3.264,4.985,4.8180000000000005,5.505,3.503,2.0380000000000003,3.361,2.443,3.3560000000000003,0.389,0.87,2.3480000000000003,0.0,1.896,1.994,2.798,3.654,1.9569999999999999,1.974,0.813,4.0489999999999995,0.993,2.864,2.27,1.7819999999999998,3.2460000000000004,3.0980000000000003,2.866,3.833,3.0439999999999996,2.456,1.025,3.925,1.171,4.071000000000001,3.94,4.848,4.273,2.698
Merchiston and Greenhill,3.697,2.562,2.373,4.584,4.582,3.7119999999999997,3.792,0.5770000000000001,2.54,3.154,2.7310000000000003,3.305,1.123,1.825,4.131,4.242,1.2329999999999999,1.6119999999999999,5.125,5.103,5.254,4.965,3.654,4.02,4.007,5.084,1.5919999999999999,1.0290000000000001,4.17,1.896,0.0,0.8029999999999999,1.123,2.654,3.222,2.6630000000000003,2.4530000000000003,5.263,2.367,4.303,0.8190000000000001,3.16,5.127000000000001,4.914,1.091,2.001,4.647,2.87,1.754,5.457000000000001,1.381,4.746,4.9830000000000005,4.621,5.6129999999999995,4.584
Morningside,3.885,3.278,1.8359999999999999,5.0889999999999995,5.322,4.237,4.244,1.251,2.707,3.713,3.4730000000000003,4.092,1.903,2.6010000000000004,4.933,4.513999999999999,2.022,2.275,5.886,5.843999999999999,6.051,5.377000000000001,3.971,4.6739999999999995,4.357,5.341,1.614,1.215,4.342,1.994,0.8029999999999999,0.0,0.853,3.447,3.677,3.262,2.295,5.779,2.734,4.717,1.6130000000000002,2.782,5.2,5.091,1.714,2.459,4.9830000000000005,3.543,1.419,5.8389999999999995,1.9380000000000002,5.409,5.5520000000000005,5.414,6.085,4.521
Morningside and Craighouse,4.677,2.971,2.6180000000000003,5.702999999999999,5.622000000000001,4.832,4.898,1.7,3.498,4.277,3.785,4.262,2.162,2.844,4.9639999999999995,5.274,2.011,1.9480000000000002,6.127999999999999,6.14,6.138,6.062,4.707,5.127999999999999,5.077,6.111000000000001,2.431,1.9609999999999999,5.142,2.798,1.123,0.853,0.0,3.361,4.327,3.786,3.148,6.3839999999999995,3.4339999999999997,5.398,1.681,3.609,6.03,5.892,1.42,1.865,5.712999999999999,3.975,2.27,6.544,2.498,5.848,6.105,5.534,6.727,5.371
Murrayfield and Ravelston,4.667,0.9129999999999999,4.859,4.236000000000001,2.862,3.505,3.8689999999999998,2.432,3.9010000000000002,3.0,1.6669999999999998,1.371,1.7519999999999998,1.361,1.65,4.836,1.425,1.524,3.1439999999999997,3.301,2.855,4.928999999999999,4.246,3.05,4.399,5.5760000000000005,3.6,3.137,5.084,3.654,2.654,3.447,3.361,0.0,3.4739999999999998,2.573,4.455,4.74,3.295,4.393,1.8359999999999999,5.382000000000001,6.165,5.684,1.954,2.176,4.945,2.248,4.128,5.456,2.484,3.549,4.256,2.324,5.231,6.037000000000001
New Town East and Gayfield,1.365,4.178999999999999,3.6,1.4269999999999998,2.76,0.665,0.5710000000000001,2.656,1.4380000000000002,0.575,1.885,2.6689999999999996,2.524,2.272,3.705,1.3630000000000002,3.1319999999999997,3.9130000000000003,3.4339999999999997,3.175,4.229,1.749,0.799,1.611,0.935,2.121,2.296,2.476,1.685,1.9569999999999999,3.222,3.677,4.327,3.4739999999999998,0.0,0.902,2.4819999999999998,2.117,0.982,1.092,3.08,3.364,2.745,2.215,3.77,4.672,1.536,1.3090000000000002,2.9819999999999998,2.256,1.847,2.234,1.984,3.628,2.408,2.872
New Town West,2.1630000000000003,3.287,3.639,1.975,2.355,1.107,1.3519999999999999,2.0869999999999997,1.76,0.524,1.024,1.867,1.7730000000000001,1.401,2.9360000000000004,2.263,2.327,3.091,3.017,2.844,3.628,2.51,1.68,1.442,1.8330000000000002,3.016,2.202,2.1630000000000003,2.543,1.974,2.6630000000000003,3.262,3.786,2.573,0.902,0.0,2.699,2.63,1.083,1.8969999999999998,2.347,3.665,3.6180000000000003,3.112,3.0180000000000002,3.8710000000000004,2.408,0.526,2.926,3.0389999999999997,1.324,2.177,2.32,2.988,3.0269999999999997,3.63
Newington and Dalkeith Road,1.926,4.734,1.205,3.8,5.046,3.1460000000000004,2.909,2.221,1.044,2.865,3.52,4.378,2.7489999999999997,3.134,5.436,2.662,3.31,3.955,5.712999999999999,5.521,6.2860000000000005,3.779,2.306,4.013,2.713,3.389,0.902,1.4680000000000002,2.302,0.813,2.4530000000000003,2.295,3.148,4.455,2.4819999999999998,2.699,0.0,4.453,1.6340000000000001,3.196,2.9730000000000003,0.9790000000000001,2.983,3.012,3.5060000000000002,4.45,3.2310000000000003,3.205,0.92,4.127,1.9780000000000002,4.6930000000000005,4.4319999999999995,5.632000000000001,4.596,2.229
North Leith and Newhaven,2.719,5.607,5.632999999999999,0.691,2.519,1.551,1.579,4.686,3.44,2.116,3.123,3.484,4.397,3.924,4.1819999999999995,2.064,4.913,5.641,2.985,2.594,4.088,0.919,2.168,1.705,1.788,2.004,4.4030000000000005,4.588,2.641,4.0489999999999995,5.263,5.779,6.3839999999999995,4.74,2.117,2.63,4.453,0.0,3.097,1.2770000000000001,4.971,5.206,3.21,2.529,5.632000000000001,6.435,1.5330000000000001,2.6289999999999996,5.069,1.1340000000000001,3.886,1.507,0.5479999999999999,3.717,0.517,3.917
"Old Town, Princes Street and Leith Street",1.452,3.8289999999999997,2.665,2.407,3.4139999999999997,1.619,1.527,1.837,0.684,1.244,2.011,2.8819999999999997,1.92,1.946,3.958,1.8880000000000001,2.568,3.344,4.084,3.887,4.707,2.6430000000000002,1.288,2.3890000000000002,1.6440000000000001,2.73,1.315,1.52,1.9169999999999998,0.993,2.367,2.734,3.4339999999999997,3.295,0.982,1.083,1.6340000000000001,3.097,0.0,1.983,2.405,2.589,2.969,2.625,3.088,4.042,2.282,1.604,2.013,3.112,1.082,3.088,2.957,4.063,3.364,2.742
Pilrig,1.4509999999999998,5.164,4.388999999999999,0.727,2.96,0.9009999999999999,0.547,3.742,2.21,1.405,2.733,3.373,3.6069999999999998,3.298,4.302,0.8740000000000001,4.203,4.977,3.5780000000000003,3.236,4.558,0.6629999999999999,0.895,1.804,0.512,1.2570000000000001,3.237,3.503,1.4469999999999998,2.864,4.303,4.717,5.398,4.393,1.092,1.8969999999999998,3.196,1.2770000000000001,1.983,0.0,4.168,3.929,2.254,1.589,4.856,5.747000000000001,0.591,2.145,3.865,1.1640000000000001,2.935,2.114,1.4169999999999998,4.043,1.412,2.765
Polwarth,3.843,1.808,3.115,4.322,3.952,3.451,3.628,0.752,2.779,2.8689999999999998,2.135,2.583,0.575,1.182,3.341,4.274,0.41600000000000004,0.995,4.448,4.466,4.489,4.814,3.659,3.554,3.96,5.109,2.0709999999999997,1.514,4.314,2.27,0.8190000000000001,1.6130000000000002,1.681,1.8359999999999999,3.08,2.347,2.9730000000000003,4.971,2.405,4.168,0.0,3.7939999999999996,5.3420000000000005,5.03,0.6920000000000001,1.6380000000000001,4.593,2.411,2.432,5.331,1.324,4.249,4.623,3.87,5.372999999999999,4.939
Prestonfield,2.522,5.5920000000000005,1.0590000000000002,4.5889999999999995,6.002000000000001,4.018,3.727,3.051,1.9480000000000002,3.795,4.5,5.356,3.647,4.085,6.412000000000001,3.255,4.163,4.743,6.672999999999999,6.468,7.263999999999999,4.445,3.04,4.939,3.4219999999999997,3.852,1.7819999999999998,2.289,2.775,1.7819999999999998,3.16,2.782,3.609,5.382000000000001,3.364,3.665,0.9790000000000001,5.206,2.589,3.929,3.7939999999999996,0.0,3.1439999999999997,3.3760000000000003,4.248,5.146,3.845,4.177,1.409,4.717,2.929,5.596,5.251,6.61,5.28,2.188
Restalrig (Loganlea) and Craigentinny West,1.52,6.78,4.0489999999999995,2.923,5.206,3.017,2.5540000000000003,4.689,2.592,3.3,4.627,5.407,4.886,4.8660000000000005,6.42,1.446,5.534,6.305,5.831,5.489,6.791,2.294,1.946,4.032,1.9340000000000002,1.22,3.6,4.113,1.081,3.2460000000000004,5.127000000000001,5.2,6.03,6.165,2.745,3.6180000000000003,2.983,3.21,2.969,2.254,5.3420000000000005,3.1439999999999997,0.0,0.6859999999999999,6.006,6.974,1.733,4.053,3.8989999999999996,2.224,4.026,4.36,3.562,6.247999999999999,2.9930000000000003,1.024
Restalrig and Lochend,1.218,6.352,4.166,2.241,4.548,2.398,1.9409999999999998,4.428999999999999,2.394,2.741,4.093999999999999,4.837,4.535,4.431,5.824,0.855,5.178999999999999,5.961,5.164,4.817,6.143,1.61,1.4409999999999998,3.385,1.33,0.5720000000000001,3.477,3.9360000000000004,0.75,3.0980000000000003,4.914,5.091,5.892,5.684,2.215,3.112,3.012,2.529,2.625,1.589,5.03,3.3760000000000003,0.6859999999999999,0.0,5.711,6.667000000000001,1.05,3.508,3.892,1.5859999999999999,3.7060000000000004,3.6839999999999997,2.8760000000000003,5.6160000000000005,2.336,1.5
Shandon,4.5169999999999995,1.584,3.451,4.992,4.439,4.125,4.315,1.334,3.425,3.542,2.6910000000000003,2.989,1.251,1.7530000000000001,3.5839999999999996,4.963,0.755,0.563,4.877,4.941,4.776,5.5,4.349,4.16,4.652,5.7989999999999995,2.616,2.042,4.99,2.866,1.091,1.714,1.42,1.954,3.77,3.0180000000000002,3.5060000000000002,5.632000000000001,3.088,4.856,0.6920000000000001,4.248,6.006,5.711,0.0,0.972,5.285,3.037,2.845,6.019,2.0069999999999997,4.832,5.263999999999999,4.196000000000001,6.044,5.559
Slateford and Chesser,5.48,1.419,4.28,5.822,4.963,4.9719999999999995,5.2010000000000005,2.305,4.397,4.3919999999999995,3.373,3.458,2.154,2.511,3.798,5.905,1.545,0.797,5.306,5.433,5.001,6.377999999999999,5.287999999999999,4.873,5.575,6.735,3.57,2.997,5.952000000000001,3.833,2.001,2.459,1.865,2.176,4.672,3.8710000000000004,4.45,6.435,4.042,5.747000000000001,1.6380000000000001,5.146,6.974,6.667000000000001,0.972,0.0,6.2010000000000005,3.8080000000000003,3.736,6.903,2.9619999999999997,5.496,6.03,4.497,6.872999999999999,6.529
South Leith,1.329,5.693,4.436,1.1909999999999998,3.5260000000000002,1.482,1.0759999999999998,4.104,2.3409999999999997,1.945,3.2960000000000003,3.9589999999999996,4.0489999999999995,3.801,4.893,0.591,4.665,5.447,4.128,3.7739999999999996,5.13,0.635,1.012,2.387,0.64,0.6659999999999999,3.43,3.772,1.1340000000000001,3.0439999999999996,4.647,4.9830000000000005,5.712999999999999,4.945,1.536,2.408,3.2310000000000003,1.5330000000000001,2.282,0.591,4.593,3.845,1.733,1.05,5.285,6.2010000000000005,0.0,2.7039999999999997,3.995,0.8959999999999999,3.313,2.638,1.8330000000000002,4.627,1.46,2.384
Stockbridge,2.641,3.0439999999999996,4.098,2.042,1.885,1.2590000000000001,1.6280000000000001,2.313,2.285,0.77,0.5920000000000001,1.369,1.848,1.3,2.427,2.6519999999999997,2.3,3.013,2.532,2.391,3.1039999999999996,2.6910000000000003,2.1069999999999998,1.1540000000000001,2.189,3.346,2.6489999999999996,2.531,2.992,2.456,2.87,3.543,3.975,2.248,1.3090000000000002,0.526,3.205,2.6289999999999996,1.604,2.145,2.411,4.177,4.053,3.508,3.037,3.8080000000000003,2.7039999999999997,0.0,3.367,3.221,1.64,1.876,2.23,2.4619999999999997,3.0810000000000004,4.127
The Grange,2.747,4.239,0.757,4.388,5.252000000000001,3.6310000000000002,3.491,1.714,1.662,3.23,3.5380000000000003,4.336,2.377,2.925,5.337000000000001,3.455,2.821,3.352,5.892,5.756,6.312,4.4910000000000005,3.011,4.3469999999999995,3.4210000000000003,4.229,0.7240000000000001,0.995,3.161,1.025,1.754,1.419,2.27,4.128,2.9819999999999998,2.926,0.92,5.069,2.013,3.865,2.432,1.409,3.8989999999999996,3.892,2.845,3.736,3.995,3.367,0.0,4.887,1.829,5.069,4.966,5.652,5.278,3.14
The Shore and Constitution Street,2.215,6.265,5.331,1.263,3.576,1.9669999999999999,1.705,4.9,3.2289999999999996,2.5269999999999997,3.79,4.323,4.769,4.434,5.144,1.472,5.358,6.127999999999999,4.0889999999999995,3.705,5.172000000000001,0.531,1.886,2.5869999999999997,1.485,1.015,4.309,4.624,1.956,3.925,5.457000000000001,5.8389999999999995,6.544,5.456,2.256,3.0389999999999997,4.127,1.1340000000000001,3.112,1.1640000000000001,5.331,4.717,2.224,1.5859999999999999,6.019,6.903,0.8959999999999999,3.221,4.887,0.0,4.095,2.5839999999999996,1.633,4.754,0.784,3.074
Tollcross,2.521,2.862,2.5860000000000003,3.205,3.495,2.335,2.416,0.809,1.5030000000000001,1.788,1.716,2.508,0.8740000000000001,1.157,3.523,2.9610000000000003,1.517,2.279,4.109,4.011,4.482,3.595,2.35,2.745,2.673,3.8,1.175,0.903,2.991,1.171,1.381,1.9380000000000002,2.498,2.484,1.847,1.324,1.9780000000000002,3.886,1.082,2.935,1.324,2.929,4.026,3.7060000000000004,2.0069999999999997,2.9619999999999997,3.313,1.64,1.829,4.095,0.0,3.4810000000000003,3.6260000000000003,3.823,4.2330000000000005,3.6860000000000004
Trinity,3.404,4.457,5.75,1.4509999999999998,1.014,1.597,1.983,4.187,3.658,1.845,2.1430000000000002,2.195,3.7039999999999997,3.082,2.7230000000000003,2.9760000000000004,4.077,4.708,1.5130000000000001,1.1420000000000001,2.59,2.198,2.7539999999999996,0.737,2.529,3.259,4.3469999999999995,4.34,3.525,4.071000000000001,4.746,5.409,5.848,3.549,2.234,2.177,4.6930000000000005,1.507,3.088,2.114,4.249,5.596,4.36,3.6839999999999997,4.832,5.496,2.638,1.876,5.069,2.5839999999999996,3.4810000000000003,0.0,0.963,2.214,2.015,4.843999999999999
Trinity East and The Dudleys,2.8489999999999998,5.138,5.577999999999999,0.691,1.973,1.34,1.528,4.406000000000001,3.3939999999999997,1.839,2.677,2.97,4.052,3.529,3.638,2.281,4.53,5.233,2.457,2.072,3.55,1.301,2.2359999999999998,1.206,1.911,2.396,4.272,4.391,2.86,3.94,4.9830000000000005,5.5520000000000005,6.105,4.256,1.984,2.32,4.4319999999999995,0.5479999999999999,2.957,1.4169999999999998,4.623,5.251,3.562,2.8760000000000003,5.263999999999999,6.03,1.8330000000000002,2.23,4.966,1.633,3.6260000000000003,0.963,0.0,3.17,1.063,4.172
West Pilton,4.99,3.145,6.407,3.529,1.2,3.2319999999999998,3.696,4.203,4.745,3.0580000000000003,2.124,1.3330000000000002,3.514,2.826,0.757,4.802,3.523,3.832,1.002,1.328,0.66,4.314,4.381,2.24,4.315,5.287999999999999,4.9719999999999995,4.703,5.261,4.848,4.621,5.414,5.534,2.324,3.628,2.988,5.632000000000001,3.717,4.063,4.043,3.87,6.61,6.247999999999999,5.6160000000000005,4.196000000000001,4.497,4.627,2.4619999999999997,5.652,4.754,3.823,2.214,3.17,0.0,4.228,6.499
Western Harbour and Leith Docks,2.76,6.087999999999999,5.794,1.053,3.029,1.923,1.841,5.04,3.622,2.504,3.5980000000000003,3.992,4.8,4.364,4.699,2.044,5.34,6.081,3.472,3.0780000000000003,4.583,0.8370000000000001,2.291,2.2119999999999997,1.8840000000000001,1.774,4.6419999999999995,4.879,2.593,4.273,5.6129999999999995,6.085,6.727,5.231,2.408,3.0269999999999997,4.596,0.517,3.364,1.412,5.372999999999999,5.28,2.9930000000000003,2.336,6.044,6.872999999999999,1.46,3.0810000000000004,5.278,0.784,4.2330000000000005,2.015,1.063,4.228,0.0,3.7969999999999997
Willowbrae and Duddingston Village,1.5090000000000001,6.537999999999999,3.162,3.489,5.57,3.33,2.885,4.226,2.182,3.445,4.651,5.492999999999999,4.559,4.686,6.553,1.892,5.194,5.93,6.229,5.922999999999999,7.091,3.011,2.136,4.383,2.314,2.068,2.997,3.556,1.3219999999999998,2.698,4.584,4.521,5.371,6.037000000000001,2.872,3.63,2.229,3.917,2.742,2.765,4.939,2.188,1.024,1.5,5.559,6.529,2.384,4.127,3.14,3.074,3.6860000000000004,4.843999999999999,4.172,6.499,3.7969999999999997,0.0
